alpine_url;arch;bdate;branch;description;license;maintainer;name;pkg_url;repo;version
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:26;edge;firmware files for linux (brcm folder);custom:multiple;Natanael Copa;linux-firmware-brcm;/package/edge/main/armv7/linux-firmware-brcm;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:26;edge;firmware files for linux (cadence folder);custom:multiple;Natanael Copa;linux-firmware-cadence;/package/edge/main/armv7/linux-firmware-cadence;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:26;edge;firmware files for linux (bnx2x folder);custom:multiple;Natanael Copa;linux-firmware-bnx2x;/package/edge/main/armv7/linux-firmware-bnx2x;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (edgeport folder);custom:multiple;Natanael Copa;linux-firmware-edgeport;/package/edge/main/armv7/linux-firmware-edgeport;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (cpia2 folder);custom:multiple;Natanael Copa;linux-firmware-cpia2;/package/edge/main/armv7/linux-firmware-cpia2;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (dabusb folder);custom:multiple;Natanael Copa;linux-firmware-dabusb;/package/edge/main/armv7/linux-firmware-dabusb;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (dsp56k folder);custom:multiple;Natanael Copa;linux-firmware-dsp56k;/package/edge/main/armv7/linux-firmware-dsp56k;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (cxgb4 folder);custom:multiple;Natanael Copa;linux-firmware-cxgb4;/package/edge/main/armv7/linux-firmware-cxgb4;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (cxgb3 folder);custom:multiple;Natanael Copa;linux-firmware-cxgb3;/package/edge/main/armv7/linux-firmware-cxgb3;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (emi26 folder);custom:multiple;Natanael Copa;linux-firmware-emi26;/package/edge/main/armv7/linux-firmware-emi26;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (dpaa2 folder);custom:multiple;Natanael Copa;linux-firmware-dpaa2;/package/edge/main/armv7/linux-firmware-dpaa2;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:25;edge;firmware files for linux (e100 folder);custom:multiple;Natanael Copa;linux-firmware-e100;/package/edge/main/armv7/linux-firmware-e100;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (emi62 folder);custom:multiple;Natanael Copa;linux-firmware-emi62;/package/edge/main/armv7/linux-firmware-emi62;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (isci folder);custom:multiple;Natanael Copa;linux-firmware-isci;/package/edge/main/armv7/linux-firmware-isci;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (imx folder);custom:multiple;Natanael Copa;linux-firmware-imx;/package/edge/main/armv7/linux-firmware-imx;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (go7007 folder);custom:multiple;Natanael Copa;linux-firmware-go7007;/package/edge/main/armv7/linux-firmware-go7007;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (ene-ub6250 folder);custom:multiple;Natanael Copa;linux-firmware-ene-ub6250;/package/edge/main/armv7/linux-firmware-ene-ub6250;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (intel folder);custom:multiple;Natanael Copa;linux-firmware-intel;/package/edge/main/armv7/linux-firmware-intel;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (i915 folder);custom:multiple;Natanael Copa;linux-firmware-i915;/package/edge/main/armv7/linux-firmware-i915;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (kaweth folder);custom:multiple;Natanael Copa;linux-firmware-kaweth;/package/edge/main/armv7/linux-firmware-kaweth;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:24;edge;firmware files for linux (ess folder);custom:multiple;Natanael Copa;linux-firmware-ess;/package/edge/main/armv7/linux-firmware-ess;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (keyspan_pda folder);custom:multiple;Natanael Copa;linux-firmware-keyspan_pda;/package/edge/main/armv7/linux-firmware-keyspan_pda;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (mediatek folder);custom:multiple;Natanael Copa;linux-firmware-mediatek;/package/edge/main/armv7/linux-firmware-mediatek;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (korg folder);custom:multiple;Natanael Copa;linux-firmware-korg;/package/edge/main/armv7/linux-firmware-korg;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (libertas folder);custom:multiple;Natanael Copa;linux-firmware-libertas;/package/edge/main/armv7/linux-firmware-libertas;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (liquidio folder);custom:multiple;Natanael Copa;linux-firmware-liquidio;/package/edge/main/armv7/linux-firmware-liquidio;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (mellanox folder);custom:multiple;Natanael Copa;linux-firmware-mellanox;/package/edge/main/armv7/linux-firmware-mellanox;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (matrox folder);custom:multiple;Natanael Copa;linux-firmware-matrox;/package/edge/main/armv7/linux-firmware-matrox;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:23;edge;firmware files for linux (keyspan folder);custom:multiple;Natanael Copa;linux-firmware-keyspan;/package/edge/main/armv7/linux-firmware-keyspan;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:22;edge;firmware files for linux (myricom folder);custom:multiple;Natanael Copa;linux-firmware-myricom;/package/edge/main/armv7/linux-firmware-myricom;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:22;edge;firmware files for linux (netronome folder);custom:multiple;Natanael Copa;linux-firmware-netronome;/package/edge/main/armv7/linux-firmware-netronome;main;20190322-r1
"http://git.kernel.org/?p=linux/kernel/git/firmware/linux-firmware.git;a=summary";armv7;2019-05-28 11:05:22;edge;firmware files for linux (mwlwifi folder);custom:multiple;Natanael Copa;linux-firmware-mwlwifi;/package/edge/main/armv7/linux-firmware-mwlwifi;main;20190322-r1
